Time resolution is 1 ps
Starting I2S testbench...
T=110534000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=a9c3 | tx_out=1
T=110889000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=a9c3 | tx_out=0
T=117283000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=aac3 | tx_out=x
T=117638000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=aac3 | tx_out=1
T=117993000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=aac3 | tx_out=0
T=118348000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=aac3 | tx_out=1
T=118703000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=aac3 | tx_out=0
T=119059000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=aac3 | tx_out=1
T=119414000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=aac3 | tx_out=0
T=120479000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=aac3 | tx_out=1
T=121190000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=aac3 | tx_out=0
T=122611000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=aac3 | tx_out=1
T=122966000 | sim_L=aac3 sim_R=1284 | rx_L=1274 rx_R=aac3 | tx_out=0
T=128649000 | sim_L=abc3 sim_R=1294 | rx_L=1274 rx_R=aac3 | tx_out=0
T=128650000 CHECK left:  rx=1274  sim=abc3  MISMATCH
T=128650000 CHECK right: rx=aac3  sim=1294  MISMATCH
T=129004000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=aac3 | tx_out=x
T=129359000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=aac3 | tx_out=0
T=130425000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=aac3 | tx_out=1
T=130780000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=aac3 | tx_out=0
T=131491000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=aac3 | tx_out=1
T=131846000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=aac3 | tx_out=0
T=132556000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=aac3 | tx_out=1
T=133267000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=aac3 | tx_out=0
T=133977000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=aac3 | tx_out=1
T=134332000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=aac3 | tx_out=0
T=140726000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=abc3 | tx_out=x
T=141081000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=abc3 | tx_out=1
T=141436000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=abc3 | tx_out=0
T=141791000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=abc3 | tx_out=1
T=142147000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=abc3 | tx_out=0
T=142502000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=abc3 | tx_out=1
T=142857000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=abc3 | tx_out=0
T=143567000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=abc3 | tx_out=1
T=144633000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=abc3 | tx_out=0
T=146054000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=abc3 | tx_out=1
T=146409000 | sim_L=abc3 sim_R=1294 | rx_L=1284 rx_R=abc3 | tx_out=0
T=152092000 | sim_L=acc3 sim_R=12a4 | rx_L=1284 rx_R=abc3 | tx_out=0
T=152093000 CHECK left:  rx=1284  sim=acc3  MISMATCH
T=152093000 CHECK right: rx=abc3  sim=12a4  MISMATCH
